program,mode,threads,time,result
omp8,sequential,1,3.63695,4057016590599092434
omp8,parallel_sections,1,3.47518,4057016590599092434
omp8,sequential,2,3.56868,4057016590599092434
omp8,parallel_sections,2,2.86032,4057016590599092434
omp8,sequential,3,3.727,4057016590599092434
omp8,parallel_sections,3,2.77139,4057016590599092434
omp8,sequential,4,3.59514,4057016590599092434
omp8,parallel_sections,4,2.73019,4057016590599092434
omp8,sequential,6,3.72215,4057016590599092434
omp8,parallel_sections,6,2.66825,4057016590599092434
omp8,sequential,8,3.64366,4057016590599092434
omp8,parallel_sections,8,2.85187,4057016590599092434
omp8,sequential,10,3.59168,4057016590599092434
omp8,parallel_sections,10,2.78823,4057016590599092434
omp8,sequential,12,3.78264,4057016590599092434
omp8,parallel_sections,12,2.7726,4057016590599092434
